"b'Country,Other'",b'TotalCases',b'NewCases',b'TotalDeaths',b'NewDeaths',b'TotalRecovered',b'ActiveCases',"b'Serious,Critical'",b'Tot\xc2\xa0Cases/1M pop',b'Deaths/1M pop',b'TotalTests',b'Tests/\n1M pop\n',b'Continent'
b'Russia',"b'155,370'","b'+10,102'","b'1,451'",b'+95',"b'19,865'","b'134,054'","b'2,300'","b'1,065'",b'10',"b'4,460,357'","b'30,564'",b'Europe'
b'Turkey',"b'127,659'",b'',"b'3,461'",b'',"b'68,166'","b'56,032'","b'1,384'","b'1,514'",b'41',"b'1,171,138'","b'13,886'",b'Asia'
b'Brazil',"b'108,620'",b'+354',"b'7,367'",b'+24',"b'45,815'","b'55,438'","b'8,318'",b'511',b'35',"b'339,552'","b'1,597'",b'South America'
b'Iran',"b'98,647'",b'',"b'6,277'",b'',"b'79,379'","b'12,991'","b'2,676'","b'1,174'",b'75',"b'508,288'","b'6,052'",b'Asia'
b'Canada',"b'60,772'",b'',"b'3,854'",b'',"b'26,017'","b'30,901'",b'557',"b'1,610'",b'102',"b'919,368'","b'24,359'",b'North America'
b'Belgium',"b'50,267'",b'',"b'7,924'",b'',"b'12,378'","b'29,965'",b'655',"b'4,337'",b'684',"b'440,700'","b'38,025'",b'Europe'
b'Peru',"b'47,372'",b'',"b'1,344'",b'',"b'14,427'","b'31,601'",b'694',"b'1,437'",b'41',"b'385,492'","b'11,692'",b'South America'
b'India',"b'46,476'",b'+39',"b'1,571'",b'+5',"b'12,849'","b'32,056'",b'',b'34',b'1',"b'1,191,946'",b'864',b'Asia'
b'Netherlands',"b'40,770'",b'',"b'5,082'",b'',b'N/A',"b'35,438'",b'683',"b'2,379'",b'297',"b'235,909'","b'13,768'",b'Europe'
b'Ecuador',"b'31,881'",b'',"b'1,569'",b'',"b'3,433'","b'26,879'",b'159',"b'1,807'",b'89',"b'80,171'","b'4,544'",b'South America'
b'Switzerland',"b'29,981'",b'',"b'1,784'",b'',"b'25,200'","b'2,997'",b'141',"b'3,464'",b'206',"b'282,750'","b'32,670'",b'Europe'
b'Saudi Arabia',"b'28,656'",b'',b'191',b'',"b'4,476'","b'23,989'",b'143',b'823',b'5',"b'365,093'","b'10,487'",b'Asia'
b'Portugal',"b'25,524'",b'',"b'1,063'",b'',"b'1,712'","b'22,749'",b'143',"b'2,503'",b'104',"b'450,000'","b'44,132'",b'Europe'
b'Mexico',"b'24,905'","b'+1,434'","b'2,271'",b'+117',"b'15,938'","b'6,696'",b'378',b'193',b'18',"b'100,041'",b'776',b'North America'
b'Sweden',"b'22,721'",b'',"b'2,769'",b'',"b'4,074'","b'15,878'",b'455',"b'2,250'",b'274',"b'119,500'","b'11,833'",b'Europe'
b'Ireland',"b'21,772'",b'',"b'1,319'",b'',"b'13,386'","b'7,067'",b'93',"b'4,409'",b'267',"b'169,377'","b'34,302'",b'Europe'
b'Pakistan',"b'21,501'",b'+560',b'486',b'+10',"b'5,782'","b'15,233'",b'111',b'97',b'2',"b'222,404'","b'1,007'",b'Asia'
b'Chile',"b'20,643'",b'',b'270',b'',"b'10,415'","b'9,958'",b'464',"b'1,080'",b'14',"b'214,131'","b'11,202'",b'South America'
b'Singapore',"b'19,410'",b'+632',b'18',b'',"b'1,457'","b'17,935'",b'22',"b'3,318'",b'3',"b'143,919'","b'24,600'",b'Asia'
b'Belarus',"b'17,489'",b'',b'103',b'',"b'3,259'","b'14,127'",b'92',"b'1,851'",b'11',"b'211,369'","b'22,369'",b'Europe'
b'Israel',"b'16,246'",b'',b'235',b'',"b'10,064'","b'5,947'",b'70',"b'1,877'",b'27',"b'404,285'","b'46,708'",b'Asia'
b'Qatar',"b'16,191'",b'',b'12',b'',"b'1,810'","b'14,369'",b'72',"b'5,620'",b'4',"b'106,795'","b'37,068'",b'Asia'
b'Austria',"b'15,621'",b'',b'600',b'',"b'13,316'","b'1,705'",b'111',"b'1,734'",b'67',"b'279,071'","b'30,986'",b'Europe'
b'Japan',"b'15,078'",b'',b'536',b'',"b'4,156'","b'10,386'",b'328',b'119',b'4',"b'184,586'","b'1,459'",b'Asia'
b'UAE',"b'14,730'",b'',b'137',b'',"b'2,966'","b'11,627'",b'1',"b'1,489'",b'14',"b'1,200,000'","b'121,330'",b'Asia'
b'Poland',"b'14,006'",b'',b'698',b'',"b'4,280'","b'9,028'",b'160',b'370',b'18',"b'383,804'","b'10,141'",b'Europe'
b'Romania',"b'13,512'",b'',b'827',b'+9',"b'5,269'","b'7,416'",b'243',b'702',b'43',"b'199,068'","b'10,348'",b'Europe'
b'Ukraine',"b'12,697'",b'+366',b'316',b'+13',"b'1,875'","b'10,506'",b'167',b'290',b'7',"b'139,759'","b'3,196'",b'Europe'
b'Indonesia',"b'11,587'",b'',b'864',b'',"b'1,954'","b'8,769'",b'',b'42',b'3',"b'116,861'",b'427',b'Asia'
b'S. Korea',"b'10,804'",b'+3',b'254',b'+2',"b'9,283'","b'1,267'",b'55',b'211',b'5',"b'640,237'","b'12,488'",b'Asia'
b'Bangladesh',"b'10,143'",b'',b'182',b'',"b'1,209'","b'8,752'",b'1',b'62',b'1',"b'87,694'",b'532',b'Asia'
b'Denmark',"b'9,670'",b'',b'493',b'',"b'7,088'","b'2,089'",b'57',"b'1,669'",b'85',"b'244,791'","b'42,262'",b'Europe'
b'Serbia',"b'9,557'",b'',b'197',b'',"b'1,574'","b'7,786'",b'53',"b'1,094'",b'23',"b'106,461'","b'12,185'",b'Europe'
b'Philippines',"b'9,485'",b'',b'623',b'',"b'1,315'","b'7,547'",b'31',b'87',b'6',"b'126,164'","b'1,151'",b'Asia'
b'Dominican Republic',"b'8,235'",b'',b'346',b'',"b'1,771'","b'6,118'",b'144',b'759',b'32',"b'33,377'","b'3,077'",b'North America'
b'Colombia',"b'7,973'",b'',b'358',b'',"b'1,807'","b'5,808'",b'120',b'157',b'7',"b'123,029'","b'2,418'",b'South America'
b'Norway',"b'7,904'",b'',b'214',b'',b'32',"b'7,658'",b'27',"b'1,458'",b'39',"b'182,285'","b'33,624'",b'Europe'
b'Czechia',"b'7,841'",b'+22',b'252',b'',"b'3,816'","b'3,773'",b'59',b'732',b'24',"b'269,093'","b'25,128'",b'Europe'
b'Panama',"b'7,387'",b'+190',b'203',b'+3',b'726',"b'6,458'",b'93',"b'1,712'",b'47',"b'35,556'","b'8,241'",b'North America'
b'South Africa',"b'7,220'",b'',b'138',b'',"b'2,746'","b'4,336'",b'36',b'122',b'2',"b'257,541'","b'4,342'",b'Africa'
b'Australia',"b'6,847'",b'+22',b'96',b'+1',"b'5,886'",b'865',b'28',b'269',b'4',"b'662,392'","b'25,976'",b'Australia/Oceania'
b'Egypt',"b'6,813'",b'',b'436',b'',"b'1,632'","b'4,745'",b'',b'67',b'4',"b'90,000'",b'879',b'Africa'
b'Malaysia',"b'6,353'",b'',b'105',b'',"b'4,484'","b'1,764'",b'28',b'196',b'3',"b'205,598'","b'6,352'",b'Asia'
b'Finland',"b'5,327'",b'',b'240',b'',"b'3,500'","b'1,587'",b'49',b'961',b'43',"b'103,500'","b'18,680'",b'Europe'
b'Kuwait',"b'5,278'",b'',b'40',b'',"b'1,947'","b'3,291'",b'79',"b'1,236'",b'9',"b'196,397'","b'45,988'",b'Asia'
b'Morocco',"b'5,053'",b'',b'179',b'',"b'1,653'","b'3,221'",b'1',b'137',b'5',"b'45,302'","b'1,227'",b'Africa'
b'Argentina',"b'4,887'",b'',b'260',b'',"b'1,442'","b'3,185'",b'157',b'108',b'6',"b'67,920'","b'1,503'",b'South America'
b'Algeria',"b'4,648'",b'',b'465',b'',"b'1,998'","b'2,185'",b'22',b'106',b'11',"b'6,500'",b'148',b'Africa'
b'Moldova',"b'4,248'",b'',b'132',b'',"b'1,423'","b'2,693'",b'237',"b'1,053'",b'33',"b'20,447'","b'5,069'",b'Europe'
b'Kazakhstan',"b'4,121'",b'+72',b'29',b'',"b'1,173'","b'2,919'",b'40',b'219',b'2',"b'320,411'","b'17,064'",b'Asia'
b'Luxembourg',"b'3,828'",b'',b'96',b'',"b'3,405'",b'327',b'21',"b'6,115'",b'153',"b'48,339'","b'77,222'",b'Europe'
b'Bahrain',"b'3,533'",b'',b'8',b'',"b'1,744'","b'1,781'",b'1',"b'2,076'",b'5',"b'149,586'","b'87,910'",b'Asia'
b'Hungary',"b'3,065'",b'+30',b'363',b'+12',b'709',"b'1,993'",b'55',b'317',b'38',"b'85,557'","b'8,857'",b'Europe'
b'Thailand',"b'2,988'",b'+1',b'54',b'',"b'2,747'",b'187',b'61',b'43',b'0.8',"b'227,860'","b'3,264'",b'Asia'
b'Afghanistan',"b'2,894'",b'',b'90',b'',b'397',"b'2,407'",b'7',b'74',b'2',"b'11,068'",b'284',b'Asia'
b'Nigeria',"b'2,802'",b'',b'93',b'',b'417',"b'2,292'",b'4',b'14',b'0.5',"b'18,536'",b'90',b'Africa'
b'Ghana',"b'2,719'",b'',b'18',b'',b'294',"b'2,407'",b'4',b'88',b'0.6',"b'129,461'","b'4,166'",b'Africa'
b'Oman',"b'2,637'",b'',b'12',b'',b'816',"b'1,809'",b'17',b'516',b'2',"b'40,459'","b'7,923'",b'Asia'
b'Greece',"b'2,632'",b'',b'146',b'',"b'1,374'","b'1,112'",b'35',b'253',b'14',"b'80,951'","b'7,767'",b'Europe'
b'Armenia',"b'2,619'",b'+112',b'40',b'+1',"b'1,111'","b'1,468'",b'10',b'884',b'13',"b'25,846'","b'8,722'",b'Asia'
b'Iraq',"b'2,346'",b'',b'98',b'',"b'1,544'",b'704',b'',b'58',b'2',"b'107,586'","b'2,675'",b'Asia'
b'Uzbekistan',"b'2,189'",b'',b'10',b'',"b'1,405'",b'774',b'8',b'65',b'0.3',"b'325,000'","b'9,710'",b'Asia'
b'Cameroon',"b'2,104'",b'',b'64',b'',b'953',"b'1,087'",b'12',b'79',b'2',b'',b'',b'Africa'
b'Croatia',"b'2,101'",b'',b'80',b'',"b'1,522'",b'499',b'15',b'512',b'19',"b'39,040'","b'9,510'",b'Europe'
b'Azerbaijan',"b'1,984'",b'',b'26',b'',"b'1,480'",b'478',b'18',b'196',b'3',"b'157,932'","b'15,576'",b'Asia'
b'Bosnia and Herzegovina',"b'1,926'",b'',b'78',b'',b'855',b'993',b'4',b'587',b'24',"b'34,378'","b'10,478'",b'Europe'
b'Iceland',"b'1,799'",b'',b'10',b'',"b'1,723'",b'66',b'',"b'5,272'",b'29',"b'50,477'","b'147,921'",b'Europe'
b'Estonia',"b'1,711'",b'+8',b'55',b'',b'261',"b'1,395'",b'6',"b'1,290'",b'41',"b'57,423'","b'43,288'",b'Europe'
b'Guinea',"b'1,710'",b'',b'9',b'',b'450',"b'1,251'",b'',b'130',b'0.7',b'',b'',b'Africa'
b'Bulgaria',"b'1,689'",b'+37',b'78',b'',b'342',"b'1,269'",b'37',b'243',b'11',"b'50,303'","b'7,239'",b'Europe'
b'Bolivia',"b'1,681'",b'+87',b'82',b'+6',b'174',"b'1,425'",b'3',b'144',b'7',"b'7,651'",b'655',b'South America'
b'Cuba',"b'1,668'",b'',b'69',b'',b'876',b'723',b'9',b'147',b'6',"b'55,542'","b'4,904'",b'North America'
b'North Macedonia',"b'1,518'",b'',b'85',b'',b'992',b'441',b'21',b'729',b'41',"b'17,359'","b'8,332'",b'Europe'
b'New Zealand',"b'1,486'",b'',b'20',b'',"b'1,302'",b'164',b'',b'308',b'4',"b'155,928'","b'32,335'",b'Australia/Oceania'
